Country,Year,Unemployment Rate,Previous Year Unemployment Rate
Austria,2004,5.969,4.785
Austria,2005,5.682,5.969
Austria,2006,5.32,5.682
Austria,2007,4.909,5.32
Austria,2008,4.198,4.909
Austria,2009,5.371,4.198
Austria,2010,4.883,5.371
Austria,2011,4.637,4.883
Austria,2012,4.909,4.637
Austria,2013,5.367,4.909
Austria,2014,5.674,5.367
Austria,2015,5.802,5.674
Austria,2016,6.064,5.802
Austria,2017,5.561,6.064
Austria,2018,4.933,5.561
Austria,2019,4.56,4.933
Belgium,2004,7.363,7.68
Belgium,2005,8.44,7.363
Belgium,2006,8.246,8.44
Belgium,2007,7.459,8.246
Belgium,2008,6.976,7.459
Belgium,2009,7.908,6.976
Belgium,2010,8.293,7.908
Belgium,2011,7.14,8.293
Belgium,2012,7.542,7.14
Belgium,2013,8.425,7.542
Belgium,2014,8.523,8.425
Belgium,2015,8.482,8.523
Belgium,2016,7.83,8.482
Belgium,2017,7.09,7.83
Belgium,2018,5.941,7.09
Belgium,2019,5.364,5.941
Cyprus,2004,4.77,4.153
Cyprus,2005,5.481,4.77
Cyprus,2006,4.593,5.481
Cyprus,2007,3.946,4.593
Cyprus,2008,3.756,3.946
Cyprus,2009,5.594,3.756
Cyprus,2010,6.36,5.594
Cyprus,2011,7.942,6.36
Cyprus,2012,12.097,7.942
Cyprus,2013,16.131,12.097
Cyprus,2014,16.277,16.131
Cyprus,2015,15.026,16.277
Cyprus,2016,13.006,15.026
Cyprus,2017,11.155,13.006
Cyprus,2018,8.504,11.155
Cyprus,2019,7.155,8.504
Czech Republic,2004,8.298,7.777
Czech Republic,2005,7.927,8.298
Czech Republic,2006,7.141,7.927
Czech Republic,2007,5.316,7.141
Czech Republic,2008,4.393,5.316
Czech Republic,2009,6.662,4.393
Czech Republic,2010,7.281,6.662
Czech Republic,2011,6.712,7.281
Czech Republic,2012,6.979,6.712
Czech Republic,2013,6.953,6.979
Czech Republic,2014,6.108,6.953
Czech Republic,2015,5.048,6.108
Czech Republic,2016,3.952,5.048
Czech Republic,2017,2.893,3.952
Czech Republic,2018,2.246,2.893
Czech Republic,2019,2.015,2.246
Denmark,2004,5.204,5.398
Denmark,2005,4.83,5.204
Denmark,2006,3.897,4.83
Denmark,2007,3.801,3.897
Denmark,2008,3.683,3.801
Denmark,2009,6.409,3.683
Denmark,2010,7.747,6.409
Denmark,2011,7.769,7.747
Denmark,2012,7.798,7.769
Denmark,2013,7.384,7.798
Denmark,2014,6.925,7.384
Denmark,2015,6.278,6.925
Denmark,2016,5.989,6.278
Denmark,2017,5.833,5.989
Denmark,2018,5.131,5.833
Denmark,2019,5.018,5.131
Estonia,2004,10.248,11.288
Estonia,2005,8.033,10.248
Estonia,2006,5.915,8.033
Estonia,2007,4.592,5.915
Estonia,2008,5.455,4.592
Estonia,2009,13.548,5.455
Estonia,2010,16.707,13.548
Estonia,2011,12.328,16.707
Estonia,2012,10.021,12.328
Estonia,2013,8.631,10.021
Estonia,2014,7.352,8.631
Estonia,2015,6.412,7.352
Estonia,2016,6.882,6.412
Estonia,2017,5.807,6.882
Estonia,2018,5.412,5.807
Estonia,2019,4.514,5.412
Finland,2004,10.358,10.469
Finland,2005,9.602,10.358
Finland,2006,8.935,9.602
Finland,2007,6.854,8.935
Finland,2008,6.369,6.854
Finland,2009,8.25,6.369
Finland,2010,8.394,8.25
Finland,2011,7.781,8.394
Finland,2012,7.689,7.781
Finland,2013,8.193,7.689
Finland,2014,8.663,8.193
Finland,2015,9.376,8.663
Finland,2016,8.818,9.376
Finland,2017,8.64,8.818
Finland,2018,7.361,8.64
Finland,2019,6.695,7.361
France,2004,8.914,8.307
France,2005,8.882,8.914
France,2006,8.833,8.882
France,2007,8.009,8.833
France,2008,7.386,8.009
France,2009,9.122,7.386
France,2010,9.279,9.122
France,2011,9.228,9.279
France,2012,9.841,9.228
France,2013,9.913,9.841
France,2014,10.273,9.913
France,2015,10.354,10.273
France,2016,10.057,10.354
France,2017,9.41,10.057
France,2018,9.018,9.41
France,2019,8.415,9.018
Germany,2004,10.727,9.779
Germany,2005,11.193,10.727
Germany,2006,10.277,11.193
Germany,2007,8.732,10.277
Germany,2008,7.508,8.732
Germany,2009,7.88,7.508
Germany,2010,7.043,7.88
Germany,2011,5.967,7.043
Germany,2012,5.372,5.967
Germany,2013,5.316,5.372
Germany,2014,4.98,5.316
Germany,2015,4.612,4.98
Germany,2016,4.104,4.612
Germany,2017,3.781,4.104
Germany,2018,3.384,3.781
Germany,2019,3.163,3.384
Greece,2004,10.628,9.839
Greece,2005,10.074,10.628
Greece,2006,8.906,10.074
Greece,2007,8.351,8.906
Greece,2008,7.664,8.351
Greece,2009,9.546,7.664
Greece,2010,12.719,9.546
Greece,2011,17.973,12.719
Greece,2012,24.731,17.973
Greece,2013,27.686,24.731
Greece,2014,26.708,27.686
Greece,2015,24.981,26.708
Greece,2016,23.514,24.981
Greece,2017,21.414,23.514
Greece,2018,19.179,21.414
Greece,2019,17.045,19.179
Hungary,2004,5.832,5.79
Hungary,2005,7.189,5.832
Hungary,2006,7.494,7.189
Hungary,2007,7.406,7.494
Hungary,2008,7.817,7.406
Hungary,2009,10.03,7.817
Hungary,2010,11.172,10.03
Hungary,2011,11.029,11.172
Hungary,2012,11.003,11.029
Hungary,2013,10.177,11.003
Hungary,2014,7.725,10.177
Hungary,2015,6.813,7.725
Hungary,2016,5.115,6.813
Hungary,2017,4.156,5.115
Hungary,2018,3.709,4.156
Hungary,2019,3.419,3.709
Ireland,2004,4.491,4.478
Ireland,2005,4.237,4.491
Ireland,2006,4.355,4.237
Ireland,2007,4.98,4.355
Ireland,2008,6.774,4.98
Ireland,2009,12.609,6.774
Ireland,2010,14.534,12.609
Ireland,2011,15.354,14.534
Ireland,2012,15.451,15.354
Ireland,2013,13.735,15.451
Ireland,2014,11.858,13.735
Ireland,2015,9.908,11.858
Ireland,2016,8.374,9.908
Ireland,2017,6.713,8.374
Ireland,2018,5.741,6.713
Ireland,2019,4.95,5.741
Italy,2004,7.881,8.888
Italy,2005,7.745,7.881
Italy,2006,6.79,7.745
Italy,2007,6.088,6.79
Italy,2008,6.737,6.088
Italy,2009,7.764,6.737
Italy,2010,8.381,7.764
Italy,2011,8.377,8.381
Italy,2012,10.678,8.377
Italy,2013,12.175,10.678
Italy,2014,12.717,12.175
Italy,2015,11.929,12.717
Italy,2016,11.725,11.929
Italy,2017,11.242,11.725
Italy,2018,10.639,11.242
Italy,2019,9.982,10.639
Latvia,2004,11.708,12.061
Latvia,2005,10.033,11.708
Latvia,2006,7.03,10.033
Latvia,2007,6.052,7.03
Latvia,2008,7.739,6.052
Latvia,2009,17.515,7.739
Latvia,2010,19.482,17.515
Latvia,2011,16.206,19.482
Latvia,2012,15.047,16.206
Latvia,2013,11.867,15.047
Latvia,2014,10.846,11.867
Latvia,2015,9.873,10.846
Latvia,2016,9.643,9.873
Latvia,2017,8.715,9.643
Latvia,2018,7.412,8.715
Latvia,2019,6.312,7.412
Lithuania,2004,10.684,12.875
Lithuania,2005,8.325,10.684
Lithuania,2006,5.78,8.325
Lithuania,2007,4.25,5.78
Lithuania,2008,5.826,4.25
Lithuania,2009,13.785,5.826
Lithuania,2010,17.814,13.785
Lithuania,2011,15.39,17.814
Lithuania,2012,13.365,15.39
Lithuania,2013,11.77,13.365
Lithuania,2014,10.698,11.77
Lithuania,2015,9.12,10.698
Lithuania,2016,7.862,9.12
Lithuania,2017,7.073,7.862
Lithuania,2018,6.147,7.073
Lithuania,2019,6.255,6.147
Luxembourg,2004,5.113,3.675
Luxembourg,2005,4.488,5.113
Luxembourg,2006,4.731,4.488
Luxembourg,2007,4.065,4.731
Luxembourg,2008,5.06,4.065
Luxembourg,2009,5.194,5.06
Luxembourg,2010,4.423,5.194
Luxembourg,2011,5.122,4.423
Luxembourg,2012,5.03,5.122
Luxembourg,2013,6.045,5.03
Luxembourg,2014,6.044,6.045
Luxembourg,2015,6.796,6.044
Luxembourg,2016,6.669,6.796
Luxembourg,2017,5.523,6.669
Luxembourg,2018,5.589,5.523
Luxembourg,2019,5.592,5.589
Malta,2004,7.317,7.488
Malta,2005,6.923,7.317
Malta,2006,6.798,6.923
Malta,2007,6.472,6.798
Malta,2008,5.977,6.472
Malta,2009,6.889,5.977
Malta,2010,6.847,6.889
Malta,2011,6.378,6.847
Malta,2012,6.197,6.378
Malta,2013,6.106,6.197
Malta,2014,5.725,6.106
Malta,2015,5.379,5.725
Malta,2016,4.687,5.379
Malta,2017,4.002,4.687
Malta,2018,3.658,4.002
Malta,2019,3.616,3.658
Netherlands,2004,4.646,3.593
Netherlands,2005,5.873,4.646
Netherlands,2006,5.007,5.873
Netherlands,2007,4.153,5.007
Netherlands,2008,3.658,4.153
Netherlands,2009,4.352,3.658
Netherlands,2010,4.991,4.352
Netherlands,2011,4.977,4.991
Netherlands,2012,5.821,4.977
Netherlands,2013,7.241,5.821
Netherlands,2014,7.419,7.241
Netherlands,2015,6.872,7.419
Netherlands,2016,6.007,6.872
Netherlands,2017,4.837,6.007
Netherlands,2018,3.832,4.837
Netherlands,2019,3.379,3.832
Poland,2004,19.074,19.37
Poland,2005,17.746,19.074
Poland,2006,13.841,17.746
Poland,2007,9.602,13.841
Poland,2008,7.118,9.602
Poland,2009,8.167,7.118
Poland,2010,9.637,8.167
Poland,2011,9.632,9.637
Poland,2012,10.088,9.632
Poland,2013,10.326,10.088
Poland,2014,8.99,10.326
Poland,2015,7.501,8.99
Poland,2016,6.161,7.501
Poland,2017,4.888,6.161
Poland,2018,3.846,4.888
Poland,2019,3.277,3.846
Portugal,2004,6.319,6.132
Portugal,2005,7.582,6.319
Portugal,2006,7.649,7.582
Portugal,2007,7.966,7.649
Portugal,2008,7.553,7.966
Portugal,2009,9.432,7.553
Portugal,2010,10.771,9.432
Portugal,2011,12.682,10.771
Portugal,2012,15.531,12.682
Portugal,2013,16.188,15.531
Portugal,2014,13.897,16.188
Portugal,2015,12.447,13.897
Portugal,2016,11.068,12.447
Portugal,2017,8.869,11.068
Portugal,2018,6.994,8.869
Portugal,2019,6.464,6.994
Slovakia,2004,18.206,17.55
Slovakia,2005,16.276,18.206
Slovakia,2006,13.395,16.276
Slovakia,2007,11.16,13.395
Slovakia,2008,9.514,11.16
Slovakia,2009,12.023,9.514
Slovakia,2010,14.387,12.023
Slovakia,2011,13.634,14.387
Slovakia,2012,13.966,13.634
Slovakia,2013,14.227,13.966
Slovakia,2014,11.537,14.227
Slovakia,2015,11.492,11.537
Slovakia,2016,9.679,11.492
Slovakia,2017,8.142,9.679
Slovakia,2018,6.544,8.142
Slovakia,2019,5.761,6.544
Slovenia,2004,6.017,6.481
Slovenia,2005,6.515,6.017
Slovenia,2006,5.957,6.515
Slovenia,2007,4.828,5.957
Slovenia,2008,4.379,4.828
Slovenia,2009,5.869,4.379
Slovenia,2010,7.248,5.869
Slovenia,2011,8.182,7.248
Slovenia,2012,8.852,8.182
Slovenia,2013,10.116,8.852
Slovenia,2014,9.692,10.116
Slovenia,2015,8.975,9.692
Slovenia,2016,8.007,8.975
Slovenia,2017,6.573,8.007
Slovenia,2018,5.116,6.573
Slovenia,2019,4.448,5.116
Spain,2004,11.09,11.283
Spain,2005,9.146,11.09
Spain,2006,8.452,9.146
Spain,2007,8.232,8.452
Spain,2008,11.255,8.232
Spain,2009,17.857,11.255
Spain,2010,19.86,17.857
Spain,2011,21.391,19.86
Spain,2012,24.789,21.391
Spain,2013,26.094,24.789
Spain,2014,24.441,26.094
Spain,2015,22.057,24.441
Spain,2016,19.635,22.057
Spain,2017,17.224,19.635
Spain,2018,15.255,17.224
Spain,2019,14.105,15.255
Sweden,2004,6.693,5.555
Sweden,2005,7.486,6.693
Sweden,2006,7.066,7.486
Sweden,2007,6.161,7.066
Sweden,2008,6.235,6.161
Sweden,2009,8.351,6.235
Sweden,2010,8.61,8.351
Sweden,2011,7.804,8.61
Sweden,2012,7.976,7.804
Sweden,2013,8.052,7.976
Sweden,2014,7.954,8.052
Sweden,2015,7.432,7.954
Sweden,2016,6.99,7.432
Sweden,2017,6.718,6.99
Sweden,2018,6.365,6.718
Sweden,2019,6.833,6.365
United Kingdom,2004,4.594,4.807
United Kingdom,2005,4.835,4.594
United Kingdom,2006,5.411,4.835
United Kingdom,2007,5.342,5.411
United Kingdom,2008,5.705,5.342
United Kingdom,2009,7.627,5.705
United Kingdom,2010,7.924,7.627
United Kingdom,2011,8.169,7.924
United Kingdom,2012,8.25,8.169
United Kingdom,2013,7.704,8.25
United Kingdom,2014,6.363,7.704
United Kingdom,2015,5.517,6.363
United Kingdom,2016,4.868,5.517
United Kingdom,2017,4.452,4.868
United Kingdom,2018,4.12,4.452
United Kingdom,2019,3.613,4.12
