,Country,Year,VAT,Previous Year VAT
0,Austria,2004,20.0,20.0
1,Austria,2005,20.0,20.0
2,Austria,2006,20.0,20.0
3,Austria,2007,20.0,20.0
4,Austria,2008,20.0,20.0
5,Austria,2009,20.0,20.0
6,Austria,2010,20.0,20.0
7,Austria,2011,20.0,20.0
8,Austria,2012,20.0,20.0
9,Austria,2013,20.0,20.0
10,Austria,2014,20.0,20.0
11,Austria,2015,20.0,20.0
12,Austria,2016,20.0,20.0
13,Austria,2017,20.0,20.0
14,Austria,2018,20.0,20.0
15,Austria,2019,20.0,20.0
16,Belgium,2004,21.0,21.0
17,Belgium,2005,21.0,21.0
18,Belgium,2006,21.0,21.0
19,Belgium,2007,21.0,21.0
20,Belgium,2008,21.0,21.0
21,Belgium,2009,21.0,21.0
22,Belgium,2010,21.0,21.0
23,Belgium,2011,21.0,21.0
24,Belgium,2012,21.0,21.0
25,Belgium,2013,21.0,21.0
26,Belgium,2014,21.0,21.0
27,Belgium,2015,21.0,21.0
28,Belgium,2016,21.0,21.0
29,Belgium,2017,21.0,21.0
30,Belgium,2018,21.0,21.0
31,Belgium,2019,21.0,21.0
32,Cyprus,2004,15.0,15.0
33,Cyprus,2005,15.0,15.0
34,Cyprus,2006,15.0,15.0
35,Cyprus,2007,15.0,15.0
36,Cyprus,2008,15.0,15.0
37,Cyprus,2009,15.0,15.0
38,Cyprus,2010,15.0,15.0
39,Cyprus,2011,15.0,15.0
40,Cyprus,2012,16.671,15.0
41,Cyprus,2013,17.964,16.671
42,Cyprus,2014,18.967,17.964
43,Cyprus,2015,19.0,18.967
44,Cyprus,2016,19.0,19.0
45,Cyprus,2017,19.0,19.0
46,Cyprus,2018,19.0,19.0
47,Cyprus,2019,19.0,19.0
48,Czech Republic,2004,19.995,22.0
49,Czech Republic,2005,19.0,19.995
50,Czech Republic,2006,19.0,19.0
51,Czech Republic,2007,19.0,19.0
52,Czech Republic,2008,19.0,19.0
53,Czech Republic,2009,19.0,19.0
54,Czech Republic,2010,20.0,19.0
55,Czech Republic,2011,20.0,20.0
56,Czech Republic,2012,20.0,20.0
57,Czech Republic,2013,21.0,20.0
58,Czech Republic,2014,21.0,21.0
59,Czech Republic,2015,21.0,21.0
60,Czech Republic,2016,21.0,21.0
61,Czech Republic,2017,21.0,21.0
62,Czech Republic,2018,21.0,21.0
63,Czech Republic,2019,21.0,21.0
64,Denmark,2004,25.0,25.0
65,Denmark,2005,25.0,25.0
66,Denmark,2006,25.0,25.0
67,Denmark,2007,25.0,25.0
68,Denmark,2008,25.0,25.0
69,Denmark,2009,25.0,25.0
70,Denmark,2010,25.0,25.0
71,Denmark,2011,25.0,25.0
72,Denmark,2012,25.0,25.0
73,Denmark,2013,25.0,25.0
74,Denmark,2014,25.0,25.0
75,Denmark,2015,25.0,25.0
76,Denmark,2016,25.0,25.0
77,Denmark,2017,25.0,25.0
78,Denmark,2018,25.0,25.0
79,Denmark,2019,25.0,25.0
80,Estonia,2004,18.0,18.0
81,Estonia,2005,18.0,18.0
82,Estonia,2006,18.0,18.0
83,Estonia,2007,18.0,18.0
84,Estonia,2008,18.0,18.0
85,Estonia,2009,19.005,18.0
86,Estonia,2010,20.0,19.005
87,Estonia,2011,20.0,20.0
88,Estonia,2012,20.0,20.0
89,Estonia,2013,20.0,20.0
90,Estonia,2014,20.0,20.0
91,Estonia,2015,20.0,20.0
92,Estonia,2016,20.0,20.0
93,Estonia,2017,20.0,20.0
94,Estonia,2018,20.0,20.0
95,Estonia,2019,20.0,20.0
96,Finland,2004,22.0,22.0
97,Finland,2005,22.0,22.0
98,Finland,2006,22.0,22.0
99,Finland,2007,22.0,22.0
100,Finland,2008,22.0,22.0
101,Finland,2009,22.0,22.0
102,Finland,2010,22.0,22.0
103,Finland,2011,23.0,22.0
104,Finland,2012,23.0,23.0
105,Finland,2013,24.0,23.0
106,Finland,2014,24.0,24.0
107,Finland,2015,24.0,24.0
108,Finland,2016,24.0,24.0
109,Finland,2017,24.0,24.0
110,Finland,2018,24.0,24.0
111,Finland,2019,24.0,24.0
112,France,2004,19.6,19.6
113,France,2005,19.6,19.6
114,France,2006,19.6,19.6
115,France,2007,19.6,19.6
116,France,2008,19.6,19.6
117,France,2009,19.6,19.6
118,France,2010,19.6,19.6
119,France,2011,19.6,19.6
120,France,2012,19.6,19.6
121,France,2013,19.6,19.6
122,France,2014,20.0,19.6
123,France,2015,20.0,20.0
124,France,2016,20.0,20.0
125,France,2017,20.0,20.0
126,France,2018,20.0,20.0
127,France,2019,20.0,20.0
128,Germany,2004,16.0,16.0
129,Germany,2005,16.0,16.0
130,Germany,2006,16.0,16.0
131,Germany,2007,19.0,16.0
132,Germany,2008,19.0,19.0
133,Germany,2009,19.0,19.0
134,Germany,2010,19.0,19.0
135,Germany,2011,19.0,19.0
136,Germany,2012,19.0,19.0
137,Germany,2013,19.0,19.0
138,Germany,2014,19.0,19.0
139,Germany,2015,19.0,19.0
140,Germany,2016,19.0,19.0
141,Germany,2017,19.0,19.0
142,Germany,2018,19.0,19.0
143,Germany,2019,19.0,19.0
144,Greece,2004,18.0,18.0
145,Greece,2005,18.753,18.0
146,Greece,2006,19.0,18.753
147,Greece,2007,19.0,19.0
148,Greece,2008,19.0,19.0
149,Greece,2009,19.0,19.0
150,Greece,2010,21.604,19.0
151,Greece,2011,23.0,21.604
152,Greece,2012,23.0,23.0
153,Greece,2013,23.0,23.0
154,Greece,2014,23.0,23.0
155,Greece,2015,23.0,23.0
156,Greece,2016,23.584,23.0
157,Greece,2017,24.0,23.584
158,Greece,2018,24.0,24.0
159,Greece,2019,24.0,24.0
160,Hungary,2004,25.0,25.0
161,Hungary,2005,25.0,25.0
162,Hungary,2006,20.0,25.0
163,Hungary,2007,20.0,20.0
164,Hungary,2008,20.0,20.0
165,Hungary,2009,22.514,20.0
166,Hungary,2010,25.0,22.514
167,Hungary,2011,25.0,25.0
168,Hungary,2012,27.0,25.0
169,Hungary,2013,27.0,27.0
170,Hungary,2014,27.0,27.0
171,Hungary,2015,27.0,27.0
172,Hungary,2016,27.0,27.0
173,Hungary,2017,27.0,27.0
174,Hungary,2018,27.0,27.0
175,Hungary,2019,27.0,27.0
176,Ireland,2004,21.0,21.0
177,Ireland,2005,21.0,21.0
178,Ireland,2006,21.0,21.0
179,Ireland,2007,21.0,21.0
180,Ireland,2008,21.041,21.0
181,Ireland,2009,21.5,21.041
182,Ireland,2010,21.0,21.5
183,Ireland,2011,21.0,21.0
184,Ireland,2012,23.0,21.0
185,Ireland,2013,23.0,23.0
186,Ireland,2014,23.0,23.0
187,Ireland,2015,23.0,23.0
188,Ireland,2016,23.0,23.0
189,Ireland,2017,23.0,23.0
190,Ireland,2018,23.0,23.0
191,Ireland,2019,23.0,23.0
192,Italy,2004,20.0,20.0
193,Italy,2005,20.0,20.0
194,Italy,2006,20.0,20.0
195,Italy,2007,20.0,20.0
196,Italy,2008,20.0,20.0
197,Italy,2009,20.0,20.0
198,Italy,2010,20.0,20.0
199,Italy,2011,20.288,20.0
200,Italy,2012,21.0,20.288
201,Italy,2013,21.25,21.0
202,Italy,2014,22.0,21.25
203,Italy,2015,22.0,22.0
204,Italy,2016,22.0,22.0
205,Italy,2017,22.0,22.0
206,Italy,2018,22.0,22.0
207,Italy,2019,22.0,22.0
208,Latvia,2004,18.0,18.0
209,Latvia,2005,18.0,18.0
210,Latvia,2006,18.0,18.0
211,Latvia,2007,18.0,18.0
212,Latvia,2008,18.0,18.0
213,Latvia,2009,21.0,18.0
214,Latvia,2010,21.0,21.0
215,Latvia,2011,22.0,21.0
216,Latvia,2012,21.499,22.0
217,Latvia,2013,21.0,21.499
218,Latvia,2014,21.0,21.0
219,Latvia,2015,21.0,21.0
220,Latvia,2016,21.0,21.0
221,Latvia,2017,21.0,21.0
222,Latvia,2018,21.0,21.0
223,Latvia,2019,21.0,21.0
224,Lithuania,2004,18.0,18.0
225,Lithuania,2005,18.0,18.0
226,Lithuania,2006,18.0,18.0
227,Lithuania,2007,18.0,18.0
228,Lithuania,2008,18.0,18.0
229,Lithuania,2009,19.665,18.0
230,Lithuania,2010,21.0,19.665
231,Lithuania,2011,21.0,21.0
232,Lithuania,2012,21.0,21.0
233,Lithuania,2013,21.0,21.0
234,Lithuania,2014,21.0,21.0
235,Lithuania,2015,21.0,21.0
236,Lithuania,2016,21.0,21.0
237,Lithuania,2017,21.0,21.0
238,Lithuania,2018,21.0,21.0
239,Lithuania,2019,21.0,21.0
240,Luxembourg,2004,15.0,15.0
241,Luxembourg,2005,15.0,15.0
242,Luxembourg,2006,15.0,15.0
243,Luxembourg,2007,15.0,15.0
244,Luxembourg,2008,15.0,15.0
245,Luxembourg,2009,15.0,15.0
246,Luxembourg,2010,15.0,15.0
247,Luxembourg,2011,15.0,15.0
248,Luxembourg,2012,15.0,15.0
249,Luxembourg,2013,15.0,15.0
250,Luxembourg,2014,15.0,15.0
251,Luxembourg,2015,17.0,15.0
252,Luxembourg,2016,17.0,17.0
253,Luxembourg,2017,17.0,17.0
254,Luxembourg,2018,17.0,17.0
255,Luxembourg,2019,17.0,17.0
256,Malta,2004,18.0,15.0
257,Malta,2005,18.0,18.0
258,Malta,2006,18.0,18.0
259,Malta,2007,18.0,18.0
260,Malta,2008,18.0,18.0
261,Malta,2009,18.0,18.0
262,Malta,2010,18.0,18.0
263,Malta,2011,18.0,18.0
264,Malta,2012,18.0,18.0
265,Malta,2013,18.0,18.0
266,Malta,2014,18.0,18.0
267,Malta,2015,18.0,18.0
268,Malta,2016,18.0,18.0
269,Malta,2017,18.0,18.0
270,Malta,2018,18.0,18.0
271,Malta,2019,18.0,18.0
272,Netherlands,2004,19.0,19.0
273,Netherlands,2005,19.0,19.0
274,Netherlands,2006,19.0,19.0
275,Netherlands,2007,19.0,19.0
276,Netherlands,2008,19.0,19.0
277,Netherlands,2009,19.0,19.0
278,Netherlands,2010,19.0,19.0
279,Netherlands,2011,19.0,19.0
280,Netherlands,2012,19.499,19.0
281,Netherlands,2013,21.0,19.499
282,Netherlands,2014,21.0,21.0
283,Netherlands,2015,21.0,21.0
284,Netherlands,2016,21.0,21.0
285,Netherlands,2017,21.0,21.0
286,Netherlands,2018,21.0,21.0
287,Netherlands,2019,21.0,21.0
288,Poland,2004,22.0,22.0
289,Poland,2005,22.0,22.0
290,Poland,2006,22.0,22.0
291,Poland,2007,22.0,22.0
292,Poland,2008,22.0,22.0
293,Poland,2009,22.0,22.0
294,Poland,2010,22.0,22.0
295,Poland,2011,23.0,22.0
296,Poland,2012,23.0,23.0
297,Poland,2013,23.0,23.0
298,Poland,2014,23.0,23.0
299,Poland,2015,23.0,23.0
300,Poland,2016,23.0,23.0
301,Poland,2017,23.0,23.0
302,Poland,2018,23.0,23.0
303,Poland,2019,23.0,23.0
304,Portugal,2004,19.0,19.0
305,Portugal,2005,20.005,19.0
306,Portugal,2006,21.0,20.005
307,Portugal,2007,21.0,21.0
308,Portugal,2008,20.499,21.0
309,Portugal,2009,20.0,20.499
310,Portugal,2010,20.503,20.0
311,Portugal,2011,23.0,20.503
312,Portugal,2012,23.0,23.0
313,Portugal,2013,23.0,23.0
314,Portugal,2014,23.0,23.0
315,Portugal,2015,23.0,23.0
316,Portugal,2016,23.0,23.0
317,Portugal,2017,23.0,23.0
318,Portugal,2018,23.0,23.0
319,Portugal,2019,23.0,23.0
320,Slovakia,2004,19.0,20.0
321,Slovakia,2005,19.0,19.0
322,Slovakia,2006,19.0,19.0
323,Slovakia,2007,19.0,19.0
324,Slovakia,2008,19.0,19.0
325,Slovakia,2009,19.0,19.0
326,Slovakia,2010,19.0,19.0
327,Slovakia,2011,20.0,19.0
328,Slovakia,2012,20.0,20.0
329,Slovakia,2013,20.0,20.0
330,Slovakia,2014,20.0,20.0
331,Slovakia,2015,20.0,20.0
332,Slovakia,2016,20.0,20.0
333,Slovakia,2017,20.0,20.0
334,Slovakia,2018,20.0,20.0
335,Slovakia,2019,20.0,20.0
336,Slovenia,2004,20.0,20.0
337,Slovenia,2005,20.0,20.0
338,Slovenia,2006,20.0,20.0
339,Slovenia,2007,20.0,20.0
340,Slovenia,2008,20.0,20.0
341,Slovenia,2009,20.0,20.0
342,Slovenia,2010,20.0,20.0
343,Slovenia,2011,20.0,20.0
344,Slovenia,2012,20.0,20.0
345,Slovenia,2013,21.005,20.0
346,Slovenia,2014,22.0,21.005
347,Slovenia,2015,22.0,22.0
348,Slovenia,2016,22.0,22.0
349,Slovenia,2017,22.0,22.0
350,Slovenia,2018,22.0,22.0
351,Slovenia,2019,22.0,22.0
352,Spain,2004,16.0,16.0
353,Spain,2005,16.0,16.0
354,Spain,2006,16.0,16.0
355,Spain,2007,16.0,16.0
356,Spain,2008,16.0,16.0
357,Spain,2009,16.0,16.0
358,Spain,2010,17.005,16.0
359,Spain,2011,18.0,17.005
360,Spain,2012,18.995,18.0
361,Spain,2013,21.0,18.995
362,Spain,2014,21.0,21.0
363,Spain,2015,21.0,21.0
364,Spain,2016,21.0,21.0
365,Spain,2017,21.0,21.0
366,Spain,2018,21.0,21.0
367,Spain,2019,21.0,21.0
368,Sweden,2004,25.0,25.0
369,Sweden,2005,25.0,25.0
370,Sweden,2006,25.0,25.0
371,Sweden,2007,25.0,25.0
372,Sweden,2008,25.0,25.0
373,Sweden,2009,25.0,25.0
374,Sweden,2010,25.0,25.0
375,Sweden,2011,25.0,25.0
376,Sweden,2012,25.0,25.0
377,Sweden,2013,25.0,25.0
378,Sweden,2014,25.0,25.0
379,Sweden,2015,25.0,25.0
380,Sweden,2016,25.0,25.0
381,Sweden,2017,25.0,25.0
382,Sweden,2018,25.0,25.0
383,Sweden,2019,25.0,25.0
384,United Kingdom,2004,17.5,17.5
385,United Kingdom,2005,17.5,17.5
386,United Kingdom,2006,17.5,17.5
387,United Kingdom,2007,17.5,17.5
388,United Kingdom,2008,17.295,17.5
389,United Kingdom,2009,15.0,17.295
390,United Kingdom,2010,17.5,15.0
391,United Kingdom,2011,19.979,17.5
392,United Kingdom,2012,20.0,19.979
393,United Kingdom,2013,20.0,20.0
394,United Kingdom,2014,20.0,20.0
395,United Kingdom,2015,20.0,20.0
396,United Kingdom,2016,20.0,20.0
397,United Kingdom,2017,20.0,20.0
398,United Kingdom,2018,20.0,20.0
399,United Kingdom,2019,20.0,20.0
